         77557986 function calls (17870 primitive calls) in 18.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/logging/__init__.py:1724(isEnabledFor)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/parser.py:47(send_request)
       46    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       22    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1134(requests_timed_out)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metrics.py:224(register_metric)
       31    0.000    0.000    1.173    0.038 /opt/conda/lib/python3.10/site-packages/kafka/consumer/group.py:1184(__next__)
       11    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:509(_can_send_request)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:750(_handle_fetch_response)
      331    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:742(least_loaded_node)
       17    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/util.py:34(__init__)
       18    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:807(_maybe_refresh_metadata)
       60    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:235(__iter__)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:728(_fire_pending_completed_requests)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:961(_send)
        2    0.000    0.000    0.005    0.002 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:781(_parse_fetched_data)
       32    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/memory_records.py:68(_cache_next)
       30    0.000    0.000    0.004    0.000 /opt/conda/lib/python3.10/json/__init__.py:299(loads)
       12    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:115(send_fetches)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:376(modify)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:218(_read_key_value)
      330    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sensor.py:113(add)
      344    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      5/4    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:268(_conn_state_change)
    18/10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:146(<listcomp>)
       25    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:709(in_flight_request_count)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1309(__init__)
        9    0.000    0.000    0.002    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1048(recv)
      120    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/ipykernel/iostream.py:465(_schedule_flush)
       12    0.000    0.000    0.000    0.000 {method 'modify' of 'select.epoll' objects}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/coordinator/base.py:322(time_to_next_heartbeat)
    18/10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:143(encode)
       31    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/memory_records.py:96(next_batch)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/json/__init__.py:244(detect_encoding)
       38    0.000    0.000    1.173    0.031 {built-in method builtins.next}
      233    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      102    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/parser.py:137(_process_response)
       47    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/vendor/six.py:592(iteritems)
      121    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
